Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price,Change %
2878.98,2907.0,2780.0,2832.92,2304.02881349,6607600.8279606,2867.8464389305,-0.02
2832.61,2861.0,2773.36,2819.0,700.04576226,1965864.3143841,2808.1940072569,-0.0
3023.54,3029.99,2834.84,2879.73,2687.60112341,7952919.3567881,2959.1144636439,-0.05
2878.98,2907.0,2780.0,2832.92,2304.02881349,6607600.8279606,2867.8464389305,-0.02
2965.11,3095.0,2938.07,3023.77,2280.66540591,6883464.0277058,3018.1823295378,0.02
3023.54,3029.99,2834.84,2879.73,2687.60112341,7952919.3567881,2959.1144636439,-0.05
3014.5,3020.0,2917.76,2966.69,1751.40858511,5181831.2284863,2958.6649697511,-0.02
2965.11,3095.0,2938.07,3023.77,2280.66540591,6883464.0277058,3018.1823295378,0.02
3105.49,3151.81,2961.25,3011.0,2008.16466457,6089925.2158175,3032.5825980618,-0.03
3014.5,3020.0,2917.76,2966.69,1751.40858511,5181831.2284863,2958.6649697511,-0.02
2995.0,3200.0,2976.0,3105.6,1179.79033402,3633585.4638717,3079.856953473,0.04
3105.49,3151.81,2961.25,3011.0,2008.16466457,6089925.2158175,3032.5825980618,-0.03
2972.69,3110.08,2860.48,2991.36,1743.34383791,5194591.3266057,2979.671143263,0.01
2995.0,3200.0,2976.0,3105.6,1179.79033402,3633585.4638717,3079.856953473,0.04
3034.17,3199.99,2822.35,2977.11,4493.93009328,13335015.600975,2967.3393497856,-0.02
2972.69,3110.08,2860.48,2991.36,1743.34383791,5194591.3266057,2979.671143263,0.01
3256.73,3399.39,3030.0,3030.0,3857.70810913,12478683.474168,3234.7401931822,-0.07
3034.17,3199.99,2822.35,2977.11,4493.93009328,13335015.600975,2967.3393497856,-0.02
3449.97,3459.41,3239.39,3259.87,1792.27640146,5990878.6112174,3342.6086547461,-0.06
3256.73,3399.39,3030.0,3030.0,3857.70810913,12478683.474168,3234.7401931822,-0.07
3386.41,3642.0,3270.0,3449.97,2962.0388804,10263490.011792,3465.0085384452,0.02
3449.97,3459.41,3239.39,3259.87,1792.27640146,5990878.6112174,3342.6086547461,-0.06
3622.87,3634.58,3300.0,3386.72,2853.59596247,9823798.6048903,3442.60320455,-0.07
3386.41,3642.0,3270.0,3449.97,2962.0388804,10263490.011792,3465.0085384452,0.02
3672.73,3769.99,3565.0,3618.1,784.87644368,2858846.7997727,3642.4163609353,-0.01
3622.87,3634.58,3300.0,3386.72,2853.59596247,9823798.6048903,3442.60320455,-0.07
3522.65,3770.0,3454.93,3672.74,1229.51968733,4496242.1482187,3656.9094375241,0.04
3672.73,3769.99,3565.0,3618.1,784.87644368,2858846.7997727,3642.4163609353,-0.01
3735.92,3779.95,3399.37,3512.88,2251.64351151,7990400.8989539,3548.6971441564,-0.06
3522.65,3770.0,3454.93,3672.74,1229.51968733,4496242.1482187,3656.9094375241,0.04
3725.45,3889.11,3590.95,3736.05,2432.31097934,9115495.8690628,3747.6687588428,0.0
3735.92,3779.95,3399.37,3512.88,2251.64351151,7990400.8989539,3548.6971441564,-0.06
3337.22,3853.13,3337.18,3720.16,3747.66999361,13721525.200552,3661.3483108032,0.1
3725.45,3889.11,3590.95,3736.05,2432.31097934,9115495.8690628,3747.6687588428,0.0
3296.02,3400.0,3154.64,3349.43,3375.13781655,11053838.856288,3275.0777767015,0.02
3337.22,3853.13,3337.18,3720.16,3747.66999361,13721525.200552,3661.3483108032,0.1
3482.73,3590.0,3113.22,3281.33,5884.57103435,19512629.47801,3315.8966667424,-0.06
3296.02,3400.0,3154.64,3349.43,3375.13781655,11053838.856288,3275.0777767015,0.02
3351.95,3630.0,3033.17,3482.76,5384.86305633,17960200.334034,3335.3123647074,0.04
3482.73,3590.0,3113.22,3281.33,5884.57103435,19512629.47801,3315.8966667424,-0.06
3790.86,3859.99,3204.81,3352.66,3173.96962541,11087189.664384,3493.1618675941,-0.12
3351.95,3630.0,3033.17,3482.76,5384.86305633,17960200.334034,3335.3123647074,0.04
3739.7,3835.69,3600.0,3793.14,2203.93654031,8236641.2098883,3737.2406415703,0.01
3790.86,3859.99,3204.81,3352.66,3173.96962541,11087189.664384,3493.1618675941,-0.12
3989.97,4030.0,3708.04,3739.7,2403.54637313,9353089.1322973,3891.3703670786,-0.06
3739.7,3835.69,3600.0,3793.14,2203.93654031,8236641.2098883,3737.2406415703,0.01
3843.95,4074.91,3732.94,3987.11,4216.96052237,16541333.751045,3922.5725883127,0.04
3989.97,4030.0,3708.04,3739.7,2403.54637313,9353089.1322973,3891.3703670786,-0.06
4144.92,4282.16,3557.02,3830.96,7806.31111708,30526581.789122,3910.5002774398,-0.08
3843.95,4074.91,3732.94,3987.11,4216.96052237,16541333.751045,3922.5725883127,0.04
4875.0,4880.31,4101.0,4134.31,5122.33486616,22823089.312656,4455.6027493309,-0.15
4144.92,4282.16,3557.02,3830.96,7806.31111708,30526581.789122,3910.5002774398,-0.08
4832.0,4953.08,4819.44,4867.59,419.8645317,2041824.0731163,4863.0544353179,0.01
4875.0,4880.31,4101.0,4134.31,5122.33486616,22823089.312656,4455.6027493309,-0.15
4832.84,4863.32,4779.01,4823.0,637.55094211,3067479.916863,4811.348731932,-0.0
4832.0,4953.08,4819.44,4867.59,419.8645317,2041824.0731163,4863.0544353179,0.01
4926.4,4953.93,4740.34,4825.0,1613.79863057,7864287.3769864,4873.1528382873,-0.02
4832.84,4863.32,4779.01,4823.0,637.55094211,3067479.916863,4811.348731932,-0.0
4970.31,5009.55,4613.8,4926.4,3270.83586041,15750314.376365,4815.3790188635,-0.01
4926.4,4953.93,4740.34,4825.0,1613.79863057,7864287.3769864,4873.1528382873,-0.02
5556.04,5586.55,4679.0,4977.0,5143.11225116,26234052.598776,5100.8127603786,-0.1
4970.31,5009.55,4613.8,4926.4,3270.83586041,15750314.376365,4815.3790188635,-0.01
5639.98,5639.99,5546.91,5546.91,873.82949287,4886165.1606476,5591.6688558994,-0.02
5556.04,5586.55,4679.0,4977.0,5143.11225116,26234052.598776,5100.8127603786,-0.1
5620.76,5664.64,5608.81,5632.5,755.21663752,4263609.7914327,5645.5453701784,0.0
5639.98,5639.99,5546.91,5546.91,873.82949287,4886165.1606476,5591.6688558994,-0.02
5601.88,5621.21,5547.02,5621.21,422.17331302,2363040.9272365,5597.3242608173,0.0
5620.76,5664.64,5608.81,5632.5,755.21663752,4263609.7914327,5645.5453701784,0.0
5591.99,5630.0,5581.51,5601.88,314.41101562,1765243.1006345,5614.4441922734,0.0
5601.88,5621.21,5547.02,5621.21,422.17331302,2363040.9272365,5597.3242608173,0.0
5640.26,5663.61,5559.01,5591.99,913.72998856,5127961.7751815,5612.119378136,-0.01
5591.99,5630.0,5581.51,5601.88,314.41101562,1765243.1006345,5614.4441922734,0.0
5695.86,5699.99,5600.0,5640.55,672.87184565,3801022.0915625,5648.9539815575,-0.01
5640.26,5663.61,5559.01,5591.99,913.72998856,5127961.7751815,5612.119378136,-0.01
5649.66,5738.98,5634.03,5685.17,1241.64183647,7046952.6564015,5675.511608433,0.01
5695.86,5699.99,5600.0,5640.55,672.87184565,3801022.0915625,5648.9539815575,-0.01
5621.12,5655.0,5593.52,5644.97,1157.83725147,6512380.4697399,5624.6078293575,0.0
5649.66,5738.98,5634.03,5685.17,1241.64183647,7046952.6564015,5675.511608433,0.01
5634.82,5649.0,5578.42,5626.2,619.72105255,3486010.9584709,5625.1291514574,-0.0
5621.12,5655.0,5593.52,5644.97,1157.83725147,6512380.4697399,5624.6078293575,0.0
5572.03,5674.0,5538.08,5634.82,606.71283916,3406725.8473422,5615.0548125186,0.01
5634.82,5649.0,5578.42,5626.2,619.72105255,3486010.9584709,5625.1291514574,-0.0
5580.0,5582.43,5525.79,5572.03,277.79794099,1543742.2553211,5557.0687450728,-0.0
5572.03,5674.0,5538.08,5634.82,606.71283916,3406725.8473422,5615.0548125186,0.01
5566.99,5595.0,5534.03,5580.0,1098.43846949,6112358.0360139,5564.5884642513,0.0
5580.0,5582.43,5525.79,5572.03,277.79794099,1543742.2553211,5557.0687450728,-0.0
5575.3,5583.75,5524.0,5566.98,354.43608952,1966578.8931566,5548.4724927979,-0.0
5566.99,5595.0,5534.03,5580.0,1098.43846949,6112358.0360139,5564.5884642513,0.0
5533.0,5614.59,5480.95,5575.3,722.40512394,4004359.2941094,5543.0937038066,0.01
5575.3,5583.75,5524.0,5566.98,354.43608952,1966578.8931566,5548.4724927979,-0.0
5509.99,5549.18,5498.51,5533.0,919.89819004,5074953.6027441,5516.8644287945,0.0
5533.0,5614.59,5480.95,5575.3,722.40512394,4004359.2941094,5543.0937038066,0.01
5632.24,5643.51,5450.0,5509.99,1556.38952737,8624030.6772747,5541.0490276477,-0.02
5509.99,5549.18,5498.51,5533.0,919.89819004,5074953.6027441,5516.8644287945,0.0
5643.0,5644.42,5610.0,5632.3,408.80561776,2299721.316337,5625.4640749265,-0.0
5632.24,5643.51,5450.0,5509.99,1556.38952737,8624030.6772747,5541.0490276477,-0.02
5630.37,5649.45,5610.01,5634.35,251.37101259,1416089.3313406,5633.463129857,0.0
5643.0,5644.42,5610.0,5632.3,408.80561776,2299721.316337,5625.4640749265,-0.0
5630.32,5669.99,5607.19,5630.5,760.5030246,4287251.0495067,5637.3885583974,0.0
5630.37,5649.45,5610.01,5634.35,251.37101259,1416089.3313406,5633.463129857,0.0
5636.67,5649.99,5583.3,5622.5,967.23869321,5438282.1845879,5622.4820437442,-0.0
5630.32,5669.99,5607.19,5630.5,760.5030246,4287251.0495067,5637.3885583974,0.0
5574.6,5663.0,5574.6,5636.68,947.34131824,5343297.2627253,5640.3084715572,0.01
5636.67,5649.99,5583.3,5622.5,967.23869321,5438282.1845879,5622.4820437442,-0.0
5601.39,5608.05,5553.89,5574.58,922.51137966,5150199.5515929,5582.8032750025,-0.0
5574.6,5663.0,5574.6,5636.68,947.34131824,5343297.2627253,5640.3084715572,0.01
5580.1,5613.6,5551.89,5592.4,1268.46661111,7078002.3090053,5579.9673771559,0.0
5601.39,5608.05,5553.89,5574.58,922.51137966,5150199.5515929,5582.8032750025,-0.0
5577.89,5623.12,5564.78,5580.11,360.15892588,2016124.7939842,5597.8754075247,0.0
5580.1,5613.6,5551.89,5592.4,1268.46661111,7078002.3090053,5579.9673771559,0.0
5559.51,5598.99,5530.01,5577.9,279.64450501,1558932.3033628,5574.6931387299,0.0
5577.89,5623.12,5564.78,5580.11,360.15892588,2016124.7939842,5597.8754075247,0.0
5597.67,5605.08,5548.0,5551.0,929.08855395,5172560.7923247,5567.3496033652,-0.01
5559.51,5598.99,5530.01,5577.9,279.64450501,1558932.3033628,5574.6931387299,0.0
5618.69,5639.99,5550.09,5592.65,1158.6059828,6489975.67158,5601.538200153,-0.0
5597.67,5605.08,5548.0,5551.0,929.08855395,5172560.7923247,5567.3496033652,-0.01
5592.65,5622.62,5547.19,5620.24,891.77969457,4980348.2475514,5584.7293651969,0.0
5618.69,5639.99,5550.09,5592.65,1158.6059828,6489975.67158,5601.538200153,-0.0
5560.99,5624.7,5531.5,5582.58,1171.55876533,6521432.9644225,5566.4582583576,0.0
5592.65,5622.62,5547.19,5620.24,891.77969457,4980348.2475514,5584.7293651969,0.0
5367.08,5850.0,5326.6,5558.19,4771.1450887,26638014.8183,5583.1491860077,0.03
5560.99,5624.7,5531.5,5582.58,1171.55876533,6521432.9644225,5566.4582583576,0.0
5395.85,5454.1,5325.29,5353.53,532.75268421,2876430.0156256,5399.1844637835,-0.01
5367.08,5850.0,5326.6,5558.19,4771.1450887,26638014.8183,5583.1491860077,0.03
5371.0,5409.28,5362.0,5395.85,326.08374155,1757534.4726386,5389.8255223775,0.0
5395.85,5454.1,5325.29,5353.53,532.75268421,2876430.0156256,5399.1844637835,-0.01
5330.54,5407.86,5281.48,5371.0,1176.75554394,6320259.924,5370.9200322427,0.01
5371.0,5409.28,5362.0,5395.85,326.08374155,1757534.4726386,5389.8255223775,0.0
5678.58,5678.58,5284.0,5330.55,3027.79928161,16327290.741529,5392.4613962016,-0.06
5330.54,5407.86,5281.48,5371.0,1176.75554394,6320259.924,5370.9200322427,0.01
5739.98,5739.98,5615.98,5679.09,1345.96216593,7624208.427416,5664.5042634969,-0.01
5678.58,5678.58,5284.0,5330.55,3027.79928161,16327290.741529,5392.4613962016,-0.06
5763.45,5776.05,5720.41,5740.0,816.33874754,4696151.2618395,5752.6992023729,-0.0
5739.98,5739.98,5615.98,5679.09,1345.96216593,7624208.427416,5664.5042634969,-0.01
5708.96,5811.38,5687.38,5751.9,1409.17061196,8105299.2652437,5751.8225234417,0.01
5763.45,5776.05,5720.41,5740.0,816.33874754,4696151.2618395,5752.6992023729,-0.0
5707.99,6650.0,4941.39,5708.96,3988.34452841,22223079.305221,5572.0059154669,0.0
5708.96,5811.38,5687.38,5751.9,1409.17061196,8105299.2652437,5751.8225234417,0.01
5723.84,5731.09,5573.0,5711.35,2677.66139714,15144495.664144,5655.8666007283,-0.0
5707.99,6650.0,4941.39,5708.96,3988.34452841,22223079.305221,5572.0059154669,0.0
5692.19,5767.0,5656.7,5730.87,1017.95867828,5788387.5504639,5686.2696629732,0.01
5723.84,5731.09,5573.0,5711.35,2677.66139714,15144495.664144,5655.8666007283,-0.0
5640.17,5750.0,5622.57,5681.2,1058.23200504,6025715.2154783,5694.1343550185,0.01
5692.19,5767.0,5656.7,5730.87,1017.95867828,5788387.5504639,5686.2696629732,0.01
5631.5,5649.5,5499.38,5640.17,1508.9133787,8434278.530606,5589.637317599,0.0
5640.17,5750.0,5622.57,5681.2,1058.23200504,6025715.2154783,5694.1343550185,0.01
5689.66,5714.99,5600.0,5632.38,1135.74079542,6442053.6480197,5672.1160972627,-0.01
5631.5,5649.5,5499.38,5640.17,1508.9133787,8434278.530606,5589.637317599,0.0
5697.58,5730.0,5581.61,5688.05,1200.55221361,6824162.2660524,5684.1861509151,-0.0
5689.66,5714.99,5600.0,5632.38,1135.74079542,6442053.6480197,5672.1160972627,-0.01
5697.94,5723.93,5610.0,5699.11,905.79062274,5144296.0808262,5679.3434947083,0.0
5697.58,5730.0,5581.61,5688.05,1200.55221361,6824162.2660524,5684.1861509151,-0.0
5714.47,5714.47,5563.27,5676.98,727.23132018,4108446.6371722,5649.4357753394,-0.01
5697.94,5723.93,5610.0,5699.11,905.79062274,5144296.0808262,5679.3434947083,0.0
5752.0,5841.98,5630.66,5714.47,1269.91505104,7287577.5725029,5738.6339082561,-0.01
5714.47,5714.47,5563.27,5676.98,727.23132018,4108446.6371722,5649.4357753394,-0.01
5503.0,5780.0,5493.23,5754.1,1355.37825786,7592355.3890057,5601.6505687447,0.04
5752.0,5841.98,5630.66,5714.47,1269.91505104,7287577.5725029,5738.6339082561,-0.01
5477.0,5600.0,5421.4,5503.0,1803.63945168,9946255.5505097,5514.5475672786,0.0
5503.0,5780.0,5493.23,5754.1,1355.37825786,7592355.3890057,5601.6505687447,0.04
5607.22,5607.22,5390.23,5477.0,2423.71729018,13239800.177371,5462.6008697524,-0.02
5477.0,5600.0,5421.4,5503.0,1803.63945168,9946255.5505097,5514.5475672786,0.0
5700.86,5728.0,5569.96,5607.17,1399.06560517,7879161.7924485,5631.731466582,-0.02
5607.22,5607.22,5390.23,5477.0,2423.71729018,13239800.177371,5462.6008697524,-0.02
5743.96,5774.2,5665.0,5714.98,457.49462096,2613614.2851503,5712.885278664,-0.01
5700.86,5728.0,5569.96,5607.17,1399.06560517,7879161.7924485,5631.731466582,-0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5743.96,5774.2,5665.0,5714.98,457.49462096,2613614.2851503,5712.885278664,-0.01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5476.41,5506.49,5458.0,5477.91,80.0096548,438372.88584716,5478.9998399938,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5432.77,5595.11,5237.25,5477.64,1996.61949352,10808323.584066,5413.3116596048,0.01
5476.41,5506.49,5458.0,5477.91,80.0096548,438372.88584716,5478.9998399938,0.0
5367.55,5459.19,5332.55,5435.67,1273.87010646,6881194.1636531,5401.802058748,0.01
5432.77,5595.11,5237.25,5477.64,1996.61949352,10808323.584066,5413.3116596048,0.01
5595.4,5614.16,5310.0,5355.54,1555.91437571,8458464.1682685,5436.3301093665,-0.04
5367.55,5459.19,5332.55,5435.67,1273.87010646,6881194.1636531,5401.802058748,0.01
5618.1,5619.3,5496.0,5595.4,342.72875647,1908692.069842,5569.1039453501,-0.0
5595.4,5614.16,5310.0,5355.54,1555.91437571,8458464.1682685,5436.3301093665,-0.04
5586.8,5649.0,5564.06,5621.08,389.74342478,2187755.3540645,5613.3220343601,0.01
5618.1,5619.3,5496.0,5595.4,342.72875647,1908692.069842,5569.1039453501,-0.0
5559.99,5634.99,5460.0,5589.31,1069.82509314,5953954.6202489,5565.3533072156,0.01
5586.8,5649.0,5564.06,5621.08,389.74342478,2187755.3540645,5613.3220343601,0.01
5450.49,5600.27,5439.07,5559.27,1562.33306605,8661779.5747733,5544.1312502415,0.02
5559.99,5634.99,5460.0,5589.31,1069.82509314,5953954.6202489,5565.3533072156,0.01
5418.0,5467.49,5341.91,5449.98,1385.24658978,7484210.0852013,5402.7998627955,0.01
5450.49,5600.27,5439.07,5559.27,1562.33306605,8661779.5747733,5544.1312502415,0.02
5443.97,5534.79,5327.5,5411.54,1506.94363497,8174099.4298817,5424.290093003,-0.01
5418.0,5467.49,5341.91,5449.98,1385.24658978,7484210.0852013,5402.7998627955,0.01
5399.07,5508.66,5378.0,5440.43,1260.16945066,6848252.2215413,5434.3899687098,0.01
5443.97,5534.79,5327.5,5411.54,1506.94363497,8174099.4298817,5424.290093003,-0.01
5373.99,5587.88,5348.83,5399.08,951.81236285,5194675.3625192,5457.6674618565,0.0
5399.07,5508.66,5378.0,5440.43,1260.16945066,6848252.2215413,5434.3899687098,0.01
5546.21,5614.99,5317.01,5373.0,1352.41065574,7358521.142409,5441.0404940078,-0.03
5373.99,5587.88,5348.83,5399.08,951.81236285,5194675.3625192,5457.6674618565,0.0
5608.51,5628.15,5436.67,5549.8,1373.82301143,7639897.1698284,5561.0490625544,-0.01
5546.21,5614.99,5317.01,5373.0,1352.41065574,7358521.142409,5441.0404940078,-0.03
5759.83,5770.63,5385.0,5587.54,3226.33509451,17825840.990617,5525.1052567198,-0.03
5608.51,5628.15,5436.67,5549.8,1373.82301143,7639897.1698284,5561.0490625544,-0.01
6349.15,6385.0,5720.3,5764.95,2799.50518035,16924639.563921,6045.5825131944,-0.09
5759.83,5770.63,5385.0,5587.54,3226.33509451,17825840.990617,5525.1052567198,-0.03
6242.51,6400.0,6230.0,6349.15,1417.43745678,8997728.0792099,6347.8836658163,0.02
6349.15,6385.0,5720.3,5764.95,2799.50518035,16924639.563921,6045.5825131944,-0.09
6290.59,6312.49,6195.44,6242.51,937.80382576,5862623.3364297,6251.4389207984,-0.01
6242.51,6400.0,6230.0,6349.15,1417.43745678,8997728.0792099,6347.8836658163,0.02
6191.3,6313.35,6121.05,6289.4,1001.70218859,6255645.6680642,6245.01547398,0.02
6290.59,6312.49,6195.44,6242.51,937.80382576,5862623.3364297,6251.4389207984,-0.01
6031.98,6248.0,6031.98,6191.3,858.02491884,5256385.7364691,6126.1457809121,0.03
6191.3,6313.35,6121.05,6289.4,1001.70218859,6255645.6680642,6245.01547398,0.02
5989.24,6100.0,5914.42,6038.59,1075.10904795,6448909.0440319,5998.3766821873,0.01
6031.98,6248.0,6031.98,6191.3,858.02491884,5256385.7364691,6126.1457809121,0.03
6008.09,6036.6,5820.64,5989.22,1525.66153985,9003705.238508,5901.5089542031,-0.0
5989.24,6100.0,5914.42,6038.59,1075.10904795,6448909.0440319,5998.3766821873,0.01
6058.11,6109.61,5912.59,6004.92,1262.96904402,7614618.33328,6029.1409115166,-0.01
6008.09,6036.6,5820.64,5989.22,1525.66153985,9003705.238508,5901.5089542031,-0.0
5912.87,6100.0,5868.64,6054.61,1691.41254771,10123380.924045,5985.1636655709,0.02
6058.11,6109.61,5912.59,6004.92,1262.96904402,7614618.33328,6029.1409115166,-0.01
5752.43,5935.0,5717.21,5918.2,1372.84383068,7934783.1228456,5779.8148234496,0.03
5912.87,6100.0,5868.64,6054.61,1691.41254771,10123380.924045,5985.1636655709,0.02
5792.51,5823.0,5657.94,5761.14,746.17934459,4280954.1064259,5737.1651164883,-0.01
5752.43,5935.0,5717.21,5918.2,1372.84383068,7934783.1228456,5779.8148234496,0.03
5755.79,5845.0,5721.35,5790.34,655.04502899,3784141.0088873,5776.9173742482,0.01
5792.51,5823.0,5657.94,5761.14,746.17934459,4280954.1064259,5737.1651164883,-0.01
5661.95,5782.57,5550.32,5748.94,1021.89555676,5788388.8909535,5664.3644770372,0.02
5755.79,5845.0,5721.35,5790.34,655.04502899,3784141.0088873,5776.9173742482,0.01
5497.12,5689.0,5483.46,5667.62,1410.75230896,7865891.7905345,5575.6717466109,0.03
5661.95,5782.57,5550.32,5748.94,1021.89555676,5788388.8909535,5664.3644770372,0.02
5602.38,5936.03,5377.7,5498.38,2796.28086095,15871754.454055,5676.022990288,-0.02
5497.12,5689.0,5483.46,5667.62,1410.75230896,7865891.7905345,5575.6717466109,0.03
5458.57,5630.0,5437.01,5598.51,1305.87522699,7260634.7111721,5559.9758392749,0.02
5602.38,5936.03,5377.7,5498.38,2796.28086095,15871754.454055,5676.022990288,-0.02
5676.63,5709.0,5406.73,5458.68,1764.43088196,9866051.4107355,5591.6338302671,-0.04
5458.57,5630.0,5437.01,5598.51,1305.87522699,7260634.7111721,5559.9758392749,0.02
5602.69,5725.0,5530.01,5675.04,957.38096848,5372237.5923989,5611.3895818592,0.01
5676.63,5709.0,5406.73,5458.68,1764.43088196,9866051.4107355,5591.6338302671,-0.04
5763.53,5796.0,5508.13,5604.78,1073.31330571,6040962.3113452,5628.3307764913,-0.03
5602.69,5725.0,5530.01,5675.04,957.38096848,5372237.5923989,5611.3895818592,0.01
5565.52,5775.0,5534.58,5760.88,1569.42921401,8929505.0819077,5689.6513727383,0.03
5763.53,5796.0,5508.13,5604.78,1073.31330571,6040962.3113452,5628.3307764913,-0.03
5537.47,5717.32,5482.0,5565.49,1796.27016714,10063581.298222,5602.4875780491,0.01
5565.52,5775.0,5534.58,5760.88,1569.42921401,8929505.0819077,5689.6513727383,0.03
5473.77,5850.0,5450.78,5535.05,2652.67993475,14957711.228466,5638.7169188868,0.01
5537.47,5717.32,5482.0,5565.49,1796.27016714,10063581.298222,5602.4875780491,0.01
5494.66,5499.99,5150.0,5473.77,3321.4219515,17675938.692893,5321.7986004189,-0.0
5473.77,5850.0,5450.78,5535.05,2652.67993475,14957711.228466,5638.7169188868,0.01
5543.54,5750.0,5401.0,5494.7,1877.93416049,10450989.429807,5565.1522027163,-0.01
5494.66,5499.99,5150.0,5473.77,3321.4219515,17675938.692893,5321.7986004189,-0.0
5482.04,5709.62,5423.55,5550.52,1562.05601288,8671427.2314935,5551.2908371998,0.01
5543.54,5750.0,5401.0,5494.7,1877.93416049,10450989.429807,5565.1522027163,-0.01
5398.81,5715.0,5280.0,5479.36,1461.09992164,8017070.1024354,5487.0101515279,0.01
5482.04,5709.62,5423.55,5550.52,1562.05601288,8671427.2314935,5551.2908371998,0.01
5688.74,5715.1,5284.92,5394.9,2324.89414456,12837781.116655,5521.8776935258,-0.05
5398.81,5715.0,5280.0,5479.36,1461.09992164,8017070.1024354,5487.0101515279,0.01
5415.0,5766.75,5350.0,5689.96,2050.17321606,11349070.471579,5535.6641978718,0.05
5688.74,5715.1,5284.92,5394.9,2324.89414456,12837781.116655,5521.8776935258,-0.05
5800.91,5800.91,5280.02,5414.39,2646.28241172,14610711.319011,5521.2214895517,-0.07
5415.0,5766.75,5350.0,5689.96,2050.17321606,11349070.471579,5535.6641978718,0.05
6000.47,6166.0,5750.22,5789.7,1719.89971587,10331700.742818,6007.1530028667,-0.04
5800.91,5800.91,5280.02,5414.39,2646.28241172,14610711.319011,5521.2214895517,-0.07
6076.01,6182.0,5917.88,6006.44,1082.8534268,6529420.1368624,6029.828206905,-0.01
6000.47,6166.0,5750.22,5789.7,1719.89971587,10331700.742818,6007.1530028667,-0.04
6058.13,6126.19,5942.68,6079.47,730.88497067,4416043.8903867,6042.0504834551,0.0
6076.01,6182.0,5917.88,6006.44,1082.8534268,6529420.1368624,6029.828206905,-0.01
6409.35,6471.15,5988.88,6059.55,986.65473576,6076439.3457842,6158.6278619578,-0.05
6058.13,6126.19,5942.68,6079.47,730.88497067,4416043.8903867,6042.0504834551,0.0
6504.62,6507.0,6277.0,6407.7,2072.81272986,13220296.014611,6377.9500309728,-0.01
6409.35,6471.15,5988.88,6059.55,986.65473576,6076439.3457842,6158.6278619578,-0.05
6521.64,6599.99,6416.9,6504.57,749.46630343,4883927.0944812,6516.5399326554,-0.0
6504.62,6507.0,6277.0,6407.7,2072.81272986,13220296.014611,6377.9500309728,-0.01
6615.59,6625.37,6380.0,6521.76,1492.15214059,9653620.641155,6469.5954109196,-0.01
6521.64,6599.99,6416.9,6504.57,749.46630343,4883927.0944812,6516.5399326554,-0.0
6975.0,6975.0,6530.88,6612.77,1758.91195768,11757577.861191,6684.5744096817,-0.05
6615.59,6625.37,6380.0,6521.76,1492.15214059,9653620.641155,6469.5954109196,-0.01
7039.81,7098.81,6710.1,6973.46,1447.36136549,10016628.797003,6920.6136323887,-0.01
6975.0,6975.0,6530.88,6612.77,1758.91195768,11757577.861191,6684.5744096817,-0.05
7067.58,7107.38,6965.05,7040.66,373.46048983,2627493.0619727,7035.531558288,-0.0
7039.81,7098.81,6710.1,6973.46,1447.36136549,10016628.797003,6920.6136323887,-0.01
7010.11,7080.0,6902.01,7066.34,390.11591454,2732917.5009987,7005.3986498378,0.01
7067.58,7107.38,6965.05,7040.66,373.46048983,2627493.0619727,7035.531558288,-0.0
6809.1,7099.34,6699.0,7007.34,1307.01955196,8998972.77428,6885.1095309058,0.03
7010.11,7080.0,6902.01,7066.34,390.11591454,2732917.5009987,7005.3986498378,0.01
6964.2,7119.0,6745.0,6809.1,1277.81997264,8911515.8076059,6973.9994666029,-0.02
6809.1,7099.34,6699.0,7007.34,1307.01955196,8998972.77428,6885.1095309058,0.03
7195.34,7254.88,6886.0,6964.2,1505.81748075,10604720.036363,7042.500284351,-0.03
6964.2,7119.0,6745.0,6809.1,1277.81997264,8911515.8076059,6973.9994666029,-0.02
6607.7,7250.11,6584.87,7190.31,3025.71785732,21053059.625104,6958.0379327738,0.08
7195.34,7254.88,6886.0,6964.2,1505.81748075,10604720.036363,7042.500284351,-0.03
6307.49,6686.0,6282.06,6611.97,1800.50152335,11849940.698129,6581.4666327418,0.05
6607.7,7250.11,6584.87,7190.31,3025.71785732,21053059.625104,6958.0379327738,0.08
6324.0,6455.76,6250.0,6308.19,594.99484419,3775605.9570715,6345.6112165332,-0.0
6307.49,6686.0,6282.06,6611.97,1800.50152335,11849940.698129,6581.4666327418,0.05
6258.1,6366.96,6145.98,6324.7,411.93034193,2577702.5485903,6257.6175780427,0.01
6324.0,6455.76,6250.0,6308.19,594.99484419,3775605.9570715,6345.6112165332,-0.0
6413.28,6576.29,6200.0,6248.34,1146.60818471,7299756.7546933,6366.3916340695,-0.03
6258.1,6366.96,6145.98,6324.7,411.93034193,2577702.5485903,6257.6175780427,0.01
6338.05,6500.0,6250.0,6413.7,1121.65340426,7161724.2768157,6384.9708382426,0.01
6413.28,6576.29,6200.0,6248.34,1146.60818471,7299756.7546933,6366.3916340695,-0.03
6269.98,6504.84,6211.0,6324.01,1624.51194562,10340604.568304,6365.3607449204,0.01
6338.05,6500.0,6250.0,6413.7,1121.65340426,7161724.2768157,6384.9708382426,0.01
